"Officiële naam";"Alternatieve naam";"Afkorting";"Type";"Subtype";"Startdatum";"Einddatum";"Datum ter verificatie";"Laatste mutatie";"Classificaties";"Onderdeel van";"Organisatiebeschrijving/doel";"Link naar uitgebreidere organisatiebeschrijving";"Adressen (type, toelichting, straat, huisnummer, toevoeging, postbus, postcode, plaats, regio, provincieAfkorting, land, centroideLatitude, centroideLongitude, centroideRdx, centroideRdy)";"Online afspraak url";"Afspraak per email";"Telefonische afspraak";"Telefoonnummers ";"Fax";"E-mail adressen";"Internetpagina's";"Sociale Media";"Contactformulieren";"Beschrijving contactgegevens";"Relatie met ministerie";"Link naar organogram";"Oppervlakte (km2)";"Wateroppervlakte (km2)";"Bevat plaatsen";"Aantal inwoners";"Inwoners per km2";"Totaal aantal zetels";"Raad (Partij (aantal zetels))";"Beleidsterreinen";"Datum van publiceren begroting";"Actieve afwijkingen van de Regeling";"OWMS URI";"TOOi URI";"KVK-nummer";"btw-nummer";"Loonheffingennummer";"OIN";"Organisatiecode";"Actieve beheerder ROO"
"Gemeente Lochem";"";"Lochem";"Gemeente";"";"";"";"02-04-2025";"02-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Op de website van de gemeente Lochem is het organisatieschema van de gemeente te vinden. Op deze pagina vind u ook het Organisatiebesluit. In dit organisatiebesluit is beschreven wat de verantwoordelijkheden en bevoegdheden zijn van de organisatie.Op deze pagina staat ook de verwijzing naar het actuele Mandaatbesluit.";"https://www.lochem.nl/bestuur-en-organisatie/organisatieschema";"adresType: Bezoekadres, openbareRuimte: Hanzeweg, huisnummer: 8, postcode: 7241 CR, woonplaats: LOCHEM, provincieAfkorting: GD, centroideLatitude: 52.16502109, centroideLongitude: 6.41571806, centroideRdx: 225368.366, centroideRdy: 464594.744;adresType: Postadres, postbus: 17, postcode: 7240 AA, woonplaats: LOCHEM;adresType: Woo-Adres, openbareRuimte: Hanzeweg, huisnummer: 8, postcode: 7241CR, woonplaats: Lochem, provincieAfkorting: GD, land: Nederland, centroideLatitude: 52.16502109, centroideLongitude: 6.41571806, centroideRdx: 225368.366, centroideRdy: 464594.744;adresType: Woo-Adres, postbus: 17, postcode: 7240 AA, woonplaats: Lochem, provincieAfkorting: GD";"https://www.lochem.nl/afspraakmaken";"";"(0573) 28 92 22";"(0573) 28 92 22, label: algemeen";"";"info@lochem.nl, label: algemeen";"https://www.lochem.nl, label: algemeen";"";"";"";"";"https://www.lochem.nl/bestuur-en-organisatie/organisatieschema";"216,70";"";"Almen, Barchem, Eefde, Epse, Gorssel, Harfsen, Joppe, Kring Van Dorth, Laren GLD, Lochem";"34316";"158";"23";"Gemeentebelangen (8);VVD (3);GroenLinks (2);Meedenken met Lochem (2);D66 (2);PvdA (2);CDA (2);LochemGroen! (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Lochem_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0262";"08215192";"";"";"";"gm0262";"Ja"
"Gemeente Loon op Zand";"";"Loon op Zand";"Gemeente";"";"";"";"08-04-2025";"08-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"";"adresType: Bezoekadres, openbareRuimte: Anton Pieckplein, huisnummer: 1, postcode: 5171 CV, woonplaats: KAATSHEUVEL, provincieAfkorting: NB, centroideLatitude: 51.65968906, centroideLongitude: 5.03263925, centroideRdx: 130466.935, centroideRdy: 407934.032;adresType: Postadres, postbus: 7, postcode: 5170 AA, woonplaats: KAATSHEUVEL;adresType: Woo-Adres, postbus: 7, postcode: 5170 AA, woonplaats: Kaatsheuvel, provincieAfkorting: NB, land: Nederland";"https://www.loonopzand.nl/contact/afspraak-maken";"";"(0416) 28 91 11";"(0416) 28 91 11, label: algemeen";"";"info@loonopzand.nl, label: algemeen";"https://www.loonopzand.nl, label: algemeen";"";"";"";"";"https://www.loonopzand.nl/organisatie-en-politiek/organogram";"53,0";"";"De Moer, Kaatsheuvel, Loon Op Zand";"24151";"455";"19";"GemeenteBelangen (7);VVD (3);CDA (3);Pro3 (3);Voor Loon (2);Toekomstig KLM (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Loon_op_Zand_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0809";"17280777";"";"";"";"gm0809";"Ja"
"Gemeente Lopik";"";"Lopik";"Gemeente";"";"";"";"26-05-2025";"26-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Gemeente Lopik";"https://www.lopik.nl/over-lopik";"adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 3411 CH, woonplaats: LOPIK, provincieAfkorting: UT, centroideLatitude: 51.97193365, centroideLongitude: 4.95045462, centroideRdx: 124988.97, centroideRdy: 442703.25;adresType: Postadres, postbus: 50, postcode: 3410 CB, woonplaats: LOPIK;adresType: Woo-Adres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 3411CH, woonplaats: Lopik, regio: Utrecht, provincieAfkorting: UTR, land: Nederland";"https://www.lopik.nl/contact-en-openingstijden";"";"";"(0348) 55 99 55, label: algemeen";"";"gemeente@lopik.nl, label: algemeen";"https://www.lopik.nl, label: algemeen";"";"";"";"";"https://www.lopik.nl/organisatiestructuur-gemeente-lopik";"79,4";"";"Benschop, Jaarsveld, Lopik, Lopikerkapel, Polsbroek";"14800";"186";"15";"ChristenUnie-SGP (5);Hart voor Lopik (4);CDA (3);VVD (2);PvdA (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Lopik_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0331";"50029886";"";"";"";"gm0331";"Ja"
"Gemeente Losser";"";"Losser";"Gemeente";"";"";"";"05-06-2025";"05-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeentelijke organisatie bestaat uit 5 teams en 1 eenheid. De teams hebben kennis en ervaring op bijvoorbeeld:- Het ontwikkelen van beleid - Onderhoud van de buitenruimte - Het beheer van ons gemeentelijk vastgoed Ook bieden de teams directe ondersteuning aan inwoners die dat nodig hebben. Zoals hulp bij werk, inkomen of zorg.";"https://www.losser.nl/beschrijving-van-de-organisatie";"adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 7581 AG, woonplaats: LOSSER, provincieAfkorting: OV, centroideLatitude: 52.26284211, centroideLongitude: 7.00588817, centroideRdx: 265499.557, centroideRdy: 476213.332;adresType: Postadres, postbus: 90, postcode: 7580 AB, woonplaats: LOSSER;adresType: Woo-Adres, postbus: 90, postcode: 7580 AB, woonplaats: Losser";"https://www.losser.nl/contact-en-openingstijden";"gemeente@losser.nl";"(053) 537 74 44";"(053) 537 74 44, label: algemeen";"";"gemeente@losser.nl, label: algemeen";"https://www.losser.nl, label: algemeen";"";"";"";"";"https://www.losser.nl/beschrijving-van-de-organisatie";"99,62";"";"Beuningen OV, De Lutte, Glane, Losser, Overdinkel";"23469";"235";"19";"Burgerforum (7);CDA (6);D66 (2);PvdA (2);VVD (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Losser_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0168";"50869744";"";"";"";"gm0168";"Ja"
"Gemeente Maasdriel";"";"Maasdriel";"Gemeente";"";"01-08-1944";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeente Maasdriel ligt in het prachtige rivierenlandschap van de Bommelerwaard. Door de centrale ligging in Nederland, aan de A2, het spoor en de rivieren de Maas en de Waal, biedt Maasdriel vele mogelijkheden voor bedrijvigheid en voor landelijk wonen op korte afstand van diverse grote steden. De gemeente is op 1 januari 1999 ontstaan door een samenvoeging van de gemeenten Ammerzoden, Hedel, Heerewaarden, Maasdriel en Rossum. Het omvat sindsdien 11 mooie dorpen, met elk zijn eigen karakteristieken en geschiedenis. De gemeente Maasdriel telt ongeveer 26.000 inwoners. Met ruim 2.600 kleine en grote (innovatieve) bedrijven is Maasdriel met recht een ondernemende gemeente te noemen.";"https://www.maasdriel.nl/";"adresType: Bezoekadres, openbareRuimte: Kerkstraat, huisnummer: 45, postcode: 5331 CB, woonplaats: KERKDRIEL, provincieAfkorting: GD, centroideLatitude: 51.77111769, centroideLongitude: 5.33772135, centroideRdx: 151584.718, centroideRdy: 420272.341;adresType: Postadres, postbus: 10000, postcode: 5330 GA, woonplaats: KERKDRIEL;adresType: Woo-Adres, openbareRuimte: Kerkstraat, huisnummer: 45, postcode: 5331CB, woonplaats: Kerkdriel, provincieAfkorting: Gelderland, land: Nederland;adresType: Woo-Adres, postbus: 10000, postcode: 5330GA, woonplaats: Kerkdriel, provincieAfkorting: Gelderland, land: Nederland";"https://maasdriel.mijnafspraakmaken.nl/";"info@maasdriel.nl";"14 0418";"14 0418, label: algemeen";"";"info@maasdriel.nl, label: algemeen";"https://www.maasdriel.nl, label: algemeen";"";"";"";"";"https://www.maasdriel.nl/bestuur-en-organisatie/de-organisatie/de-ambtelijk-organisatie";"75,49";"";"Alem, Ammerzoden, Hedel, Heerewaarden, Hoenzadriel, Hurwenen, Kerkdriel, Rossum GLD, Velddriel, Well GLD";"26289";"348";"21";"Samen Sterk Maasdriel (8);CDA (4);VVD (3);Nieuw Lokaal Maasdriel (2);GroenLinks (2);D66 (1);SGP (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Maasdriel_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0263";"30272405";"";"";"";"gm0263";"Ja"
"Gemeente Maasgouw";"";"Maasgouw";"Gemeente";"";"01-01-2007";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Tien kernen en ruim 24.000 inwoners, een belangrijke binnenvaarthaven, veel ruimte voor de zorg, een rijke historie, de Maasplassen én een mooie, bosrijke natuur. Dat is Maasgouw. Een nog jonge gemeente in Midden-Limburg die volop in ontwikkeling is.";"https://www.gemeentemaasgouw.nl/over-gemeente-maasgouw";"adresType: Bezoekadres, openbareRuimte: Markt, huisnummer: 36, postcode: 6051 DZ, woonplaats: MAASBRACHT, provincieAfkorting: LB, centroideLatitude: 51.14744923, centroideLongitude: 5.8927117, centroideRdx: 190372.542, centroideRdy: 351009.6;adresType: Postadres, postbus: 7000, postcode: 6050 AA, woonplaats: MAASBRACHT;adresType: Woo-Adres, openbareRuimte: Markt, huisnummer: 36, postcode: 6051DZ, woonplaats: Maasbracht, regio: Limburg, provincieAfkorting: L., land: Nederland";"https://www.gemeentemaasgouw.nl/";"info@gemeentemaasgouw.nl";"(0475) 85 25 00";"(0475) 85 25 00, label: algemeen";"";"info@gemeentemaasgouw.nl, label: algemeen";"https://www.gemeentemaasgouw.nl, label: algemeen";"";"";"";"";"https://www.gemeentemaasgouw.nl/over-gemeente-maasgouw";"58,12";"";"Beegden, Heel, Linne, Maasbracht, Ohe en Laak, Stevensweert, Thorn, Wessem";"24502";"421";"19";"Lokaal Belang (9);CDA (4);VVD (3);LVM (1);NLM (1);D66 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Maasgouw";"https://identifier.overheid.nl/tooi/id/gemeente/gm1641";"52925811";"";"";"";"gm1641";"Ja"
"Gemeente Maashorst";"";"Maashorst";"Gemeente";"";"01-01-2022";"";"26-05-2025";"26-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Maashorst is een jonge gemeente met zes kernen, omgeven door natuur zoals je die nergens anders tegenkomt. We kennen, net als iedere gemeente, een college, een gemeenteraad en een directie. De organisatie is verdeeld in drie domeinen: Ruimte, Sociaal en Dienstverlening. Ieder domein heeft een directeur en bestaat uit verschillende teams. De teams worden aangestuurd door een teammanager.Aan het hoofd van de ambtelijke organisatie staat de gemeentesecretaris.";"http://www.gemeentemaashorst.nl/bestuur-en-organisatie";"adresType: Bezoekadres, openbareRuimte: Markt, huisnummer: 145, postcode: 5401 EJ, woonplaats: UDEN, provincieAfkorting: NB;adresType: Postadres, postbus: 83, postcode: 5400 AB, woonplaats: UDEN;adresType: Woo-Adres, postbus: 83, postcode: 5400 AB, woonplaats: Uden, provincieAfkorting: NB., land: Nederland";"https://maashorst.mijnafspraakmaken.nl/";"";"";"(0413) 28 19 11, label: algemeen";"";"info@gemeentemaashorst.nl, label: algemeen";"https://www.gemeentemaashorst.nl, label: algemeen";"";"";"";"";"https://www.gemeentemaashorst.nl/data/downloadables/4/1/9/4/organogram-gemeente-maashorst.pdf";"67,53";"";"Odiliapeel, Reek, Schaijk, Uden, Volkel, Zeeland";"59671";"883";"31";"Jong Maashorst (7);Voor de Dorpen/Maashorst Vooruit (6);CDA (5);VVD (3);SP (3);Gewoon Uden (2);UdenPlusLanderd (2);PRO (1);GroenLinks (1);Forum voor Democratie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Maashorst";"https://identifier.overheid.nl/tooi/id/gemeente/gm1991";"";"";"";"";"gm1991";"Ja"
"Gemeente Maassluis";"";"Maassluis";"Gemeente";"";"";"";"23-05-2025";"23-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.maassluis.nl/organisatie";"adresType: Bezoekadres, openbareRuimte: Koningshoek, huisnummer: 93050, postcode: 3144 BA, woonplaats: MAASSLUIS, provincieAfkorting: ZH, centroideLatitude: 51.9274589, centroideLongitude: 4.23877692, centroideRdx: 76010.0, centroideRdy: 438289.0;adresType: Postadres, postbus: 55, postcode: 3140 AB, woonplaats: MAASSLUIS;adresType: Woo-Adres, postbus: 55, postcode: 3140 AB, woonplaats: Maassluis";"https://www.maassluis.nl/afspraak-maken";"";"14 010";"14 010, label: algemeen";"";"gemeente@maassluis.nl, label: algemeen";"https://www.maassluis.nl, label: algemeen";"";"";"";"";"https://www.maassluis.nl/organisatie";"10,15";"";"Maassluis";"36436";"3589";"23";"VVD (6);PvdA (4);CDA (4);Leefbaar Maessluys (4);VSP (2);ChristenUnie (1);GroenLinks (1);D66 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Maassluis_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0556";"24484110";"";"";"";"gm0556";"Ja"
"Gemeente Maastricht";"";"Maastricht";"Gemeente";"";"";"";"23-05-2025";"23-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.gemeentemaastricht.nl/organogram-gemeente-maastricht";"adresType: Bezoekadres, openbareRuimte: Mosae Forum, huisnummer: 10, postcode: 6211 DW, woonplaats: MAASTRICHT, provincieAfkorting: LB, centroideLatitude: 50.85159375, centroideLongitude: 5.69357517, centroideRdx: 176576.259, centroideRdy: 318018.502;adresType: Postadres, postbus: 1992, postcode: 6201 BZ, woonplaats: MAASTRICHT;adresType: Woo-Adres, openbareRuimte: Mosae Forum, huisnummer: 10, postcode: 6211 DW, woonplaats: Maastricht, provincieAfkorting: Limburg, land: Nederland";"https://www.gemeentemaastricht.nl/contact-en-openingstijden";"";"";"14 043, label: algemeen";"";"post@maastricht.nl, label: algemeen";"https://www.gemeentemaastricht.nl, label: algemeen";"";"";"";"";"https://www.gemeentemaastricht.nl/sites/default/files/2024-11/Organogram%20gemeente%20Maastricht.pdf";"60,06";"";"Maastricht";"125563";"2090";"39";"Senioren Partij Maastricht (5);D66 (4);PvdA (4);CDA (4);GroenLinks (4);VVD (3);Partij Veilig Maastricht (2);SP (2);Volt (2);Partij voor de Dieren (2);Sociaal Actieve Burgerpartij (1);Liberale Partij Maastricht (1);50PLUS (1);MAASTRICHT van NU (1);Forum voor Democratie (1);M:OED (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Maastricht_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0935";"51488744";"";"";"";"gm0935";"Ja"
"Gemeente Medemblik";"";"Medemblik";"Gemeente";"";"";"";"24-05-2025";"24-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"";"adresType: Bezoekadres, openbareRuimte: Dick Ketlaan, huisnummer: 21, postcode: 1687 CD, woonplaats: WOGNUM, provincieAfkorting: NH, centroideLatitude: 52.68691126, centroideLongitude: 5.02817985, centroideRdx: 130723.731, centroideRdy: 522224.787;adresType: Postadres, postbus: 45, postcode: 1687 ZG, woonplaats: WOGNUM;adresType: Woo-Adres, postbus: 45, postcode: 1687 ZG, woonplaats: Wognum, provincieAfkorting: NH, land: Nederland";"https://www.medemblik.nl/contact-en-openingstijden";"info@medemblik.nl";"(0229) 85 60 00";"(0229) 85 60 00, label: algemeen";"";"info@medemblik.nl, label: algemeen";"https://www.medemblik.nl, label: algemeen";"";"";"";"";"https://www.medemblik.nl/over-gemeente-medemblik/organisatie/organogram";"257,56";"";"Abbekerk, Andijk, Benningbroek, Hauwert, Lambertschaag, Medemblik, Midwoud, Nibbixwoud, Oostwoud, Opperdoes, Sijbekarspel, Twisk, Wervershoof, Wognum, Zwaagdijk-Oost, Zwaagdijk-West";"45934";"178";"29";"Hart voor Medemblik (6);VVD (5);CDA (5);GemeenteBelangen (5);Morgen! (4);D66 (2);ChristenUnie (1);GroenLinks (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Medemblik_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0420";"37159672";"";"";"";"gm0420";"Ja"
"Gemeente Meerssen";"";"Meerssen";"Gemeente";"";"";"";"26-05-2025";"26-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.meerssen.nl/bestuur_en_organisatie/afdelingen/";"adresType: Bezoekadres, openbareRuimte: Markt, huisnummer: 50, postcode: 6231 LS, woonplaats: MEERSSEN, provincieAfkorting: LB, centroideLatitude: 50.88413449, centroideLongitude: 5.75388579, centroideRdx: 180805.411, centroideRdy: 321658.159;adresType: Postadres, postbus: 90, postcode: 6230 AB, woonplaats: MEERSSEN;adresType: Woo-Adres, postbus: 90, postcode: 6230AB, woonplaats: Meerssen, provincieAfkorting: Limburg, land: Nederland";"https://www.meerssen.nl/contact_en_openingstijden/maak_een_afspraak/";"info@meerssen.nl";"14 043";"14 043, label: algemeen";"";"info@meerssen.nl, label: algemeen";"https://www.meerssen.nl, label: algemeen";"";"";"";"";"https://www.meerssen.nl/bestand/bestuur_en_organisatie/afdelingen/ambtelijke_organisatie//organogram_790465";"27,69";"";"Bunde, Geulle, Meerssen, Moorveld, Ulestraten";"18460";"666";"17";"Lokaal DNA (7);CDA (2);Het Origineel (1);Fractie Gorissen (1);Fractie Arntz (1);Fractie van der Bijl (1);Fractie Pohle (1);BRUG-M (1);GroenLinks (1);Onafhankelijk (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Meerssen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0938";"50443089";"";"";"";"gm0938";"Ja"
